ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
56686879680,56686879680,Продажа физлицу,"Тумба напольная SanStar Модена 70 с раковиной Фостер 70 (комплект) для ванной комнаты, графит софт",480.1-1.4.1.РКФОС,480.1-1.4.1.РКФОС,1,1,03.05.2026,04.05.2026,09.05.2026,26.05.2026,Предоплата,22%,25975,10819,0,0,15156,25975,10819,15156,,,,,,,,,,,,,,,,,,
56698001474,56698001474,Продажа физлицу,"Тумба напольная SanStar Линни 50 Без раковины для ванной комнаты, белая",413.1-1.4.1.С,413.1-1.4.1.С,1,1,03.05.2026,04.05.2026,08.05.2026,18.05.2026,Яндекс.Сплит (предоплата),22%,12811,6326,0,0,6485,12811,6326,6485,,,,,,,,,,,,,,,,,,
56706771971,56706771971,Продажа физлицу,Зеркальный шкаф подвесной SanStar Универсальный 50 для ванной комнаты белый,41.1-2.4.1.,411-241,1,1,03.05.2026,06.05.2026,07.05.2026,18.05.2026,Предоплата,22%,6374,2184,0,0,4190,6374,2184,4190,,,,,,,,,,,,,,,,,,
56730982464,56730982464,Продажа физлицу,"Тумба подвесная SanStar Lavanti 90 без раковины для ванной комнаты, Дуб вотан",469.1-1.4.1.,469.1-1.4.1.,1,1,04.05.2026,09.05.2026,10.05.2026,21.05.2026,Предоплата,22%,16880,7856,0,0,9024,16880,7856,9024,,,,,,,,,,,,,,,,,,
56761607042,56761607042,Продажа физлицу,"Тумба напольная SanStar Модена 80 с раковиной Como 80 (комплект) для ванной комнаты, белая",225.1-1.4.1.ККОМ,225.1-1.4.1.ККОМ,1,1,05.05.2026,06.05.2026,07.05.2026,21.05.2026,Предоплата,22%,26465,10795,0,0,15670,26465,10795,15670,,,,,,,,,,,,,,,,,,
56781535873,56781535873,Продажа физлицу,"Тумба подвесная SanStar Велья 80 с раковиной Como 80 (комплект) для ванной комнаты, белая",62.2-1.4.1.ККОМ,62.2-1.4.1.ККОМ,1,1,06.05.2026,09.05.2026,12.05.2026,21.05.2026,Предоплата,22%,27908,12606,0,0,15302,27908,12606,15302,,,,,,,,,,,,,,,,,,
56786975040,56786975040,Продажа физлицу,"Тумба напольная SanStar Ориана 50 с раковиной Фостер 50 (комплект) для ванной комнаты, белая",368.1-1.4.1.КФОС,368.1-1.4.1.КФОС,1,1,06.05.2026,07.05.2026,09.05.2026,18.05.2026,Предоплата,22%,19923,8618,0,0,11305,19923,8618,11305,,,,,,,,,,,,,,,,,,
56787900354,56787900354,Продажа физлицу,"Тумба напольная SanStar Толедо 50 с раковиной Даллас 110 левый для ванной комнаты, Gold Craft",516.1-1.4.1.РКЛДАЛ,516.1-1.4.1.РКЛДАЛ,1,1,06.05.2026,07.05.2026,10.05.2026,28.05.2026,Предоплата,22%,37842,15776,0,0,22066,37842,15776,22066,,,,,,,,,,,,,,,,,,
56799984707,56799984707,Продажа физлицу,"Тумба напольная SanStar Толедо 60 Без раковины для ванной комнаты, белая",366.1-1.4.1.,366.1-1.4.1.,1,1,06.05.2026,07.05.2026,08.05.2026,26.05.2026,Предоплата,22%,20820,6999,0,0,13821,20820,6999,13821,,,,,,,,,,,,,,,,,,
56820086336,56820086336,Продажа физлицу,"Тумба подвесная SanStar Толедо 50 с раковиной Даллас 110 правый (комплект) для ванной комнаты, белая",482.1-1.4.1.КПДАЛ,482.1-1.4.1.КПДАЛ,1,1,06.05.2026,08.05.2026,14.05.2026,26.05.2026,Предоплата,22%,36485,14250,0,0,22235,36485,14250,22235,,,,,,,,,,,,,,,,,,
